
question,answer,topic
"Trong Iterative Deepening Search (IDS), với cây đều b=6 và độ sâu lời giải d=2, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=6, d=2 thì giá trị là 51.",Search
Bạn có thể cho biết Biểu diễn tri thức bằng khung (frame) nhấn mạnh cấu trúc nào?,"Nhấn mạnh biểu diễn hướng đối tượng với các slot–filler, có thể kế thừa từ khung tổng quát (IS-A) xuống khung cụ thể.",Knowledge
"Hãy trình bày Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=4 và độ sâu cực đại m=17, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=4, m=17 thì b·m = 68 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Hãy trình bày Trong A*, nếu một nút có chi phí đã đi g(n)=6 và heuristic h(n)=23, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=6+23=29.,SearchInformed
Một rủi ro đạo đức thường gặp khi triển khai AI là gì?,"Rủi ro thiên lệch (bias), thiếu minh bạch, xâm phạm riêng tư hoặc dùng sai mục đích; cần đánh giá và giảm thiểu.",Ethics
"Bạn hãy cho biết Phân biệt dữ liệu, thông tin và tri thức theo cách hiểu trong hệ tri thức.",Dữ liệu là sự kiện/ký hiệu thô; thông tin là dữ liệu đã xử lý có ngữ cảnh; tri thức là sự hiểu biết có thể áp dụng để giải quyết vấn đề.,Knowledge
Bạn hãy cho biết Vì sao cần hàm đánh giá (evaluation function) trong game có độ sâu lớn?,Vì không thể duyệt hết đến trạng thái kết thúc; ta cắt ở độ sâu giới hạn và dùng hàm đánh giá xấp xỉ giá trị trạng thái.,Adversarial
"Bạn có thể cho biết Trong Iterative Deepening Search (IDS), với cây đều b=4 và độ sâu lời giải d=7, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=4, d=7 thì giá trị là 29124.",Search
Giả sử cây tìm kiếm đều có hệ số phân nhánh b=3 và lời giải nông nhất ở độ sâu d=8. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 3 + 3^2 + … + 3^8 = (b^(d+1)−1)/(b−1) = 9841.,Search
"Bạn hãy cho biết Trong Iterative Deepening Search (IDS), với cây đều b=2 và độ sâu lời giải d=5, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=2, d=5 thì giá trị là 120.",Search
Bạn hãy giải thích Alpha–beta pruning giúp giảm gì trong minimax?,"Giảm số nút cần đánh giá bằng cách cắt các nhánh không thể ảnh hưởng kết quả cuối, nhưng vẫn cho cùng quyết định như minimax.",Adversarial
Bạn hãy cho biết Giả sử cây tìm kiếm đều có hệ số phân nhánh b=5 và lời giải nông nhất ở độ sâu d=1. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 5 + 5^2 + … + 5^1 = (b^(d+1)−1)/(b−1) = 6.,Search
"Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=7 và độ sâu cực đại m=17, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=7, m=17 thì b·m = 119 (đơn vị tỷ lệ, bỏ hằng số).",Search
Giả sử cây tìm kiếm đều có hệ số phân nhánh b=2 và lời giải nông nhất ở độ sâu d=1. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 2 + 2^2 + … + 2^1 = (b^(d+1)−1)/(b−1) = 3.,Search
"Bạn hãy nêu Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=5 và độ sâu cực đại m=8, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=5, m=8 thì b·m = 40 (đơn vị tỷ lệ, bỏ hằng số).",Search
Hãy trình bày Bidirectional search hiệu quả khi nào?,"Hiệu quả khi có thể sinh trạng thái ngược từ đích và hai hướng tìm kiếm gặp nhau, thường giảm độ phức tạp từ b^d xuống b^(d/2).",Search
"Trong A*, nếu một nút có chi phí đã đi g(n)=40 và heuristic h(n)=0, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=40+0=40.,SearchInformed
Bạn hãy nêu Giả sử cây tìm kiếm đều có hệ số phân nhánh b=2 và lời giải nông nhất ở độ sâu d=6. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 2 + 2^2 + … + 2^6 = (b^(d+1)−1)/(b−1) = 127.,Search
Backtracking search trong CSP được định nghĩa như thế nào?,"Là tìm kiếm theo chiều sâu trên không gian gán biến, quay lui khi một gán trị vi phạm ràng buộc.",CSP
Hợp nhất (unification) trong FOL được định nghĩa như thế nào?,"Là tìm phép thế (substitution) cho biến để hai biểu thức trở nên đồng nhất, thường dùng trong resolution và suy diễn.",LogicFOL
"Trong A*, nếu một nút có chi phí đã đi g(n)=15 và heuristic h(n)=16, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=15+16=31.,SearchInformed
Bạn hãy giải thích Biểu diễn tri thức bằng khung (frame) nhấn mạnh cấu trúc nào?,"Nhấn mạnh biểu diễn hướng đối tượng với các slot–filler, có thể kế thừa từ khung tổng quát (IS-A) xuống khung cụ thể.",Knowledge
"Bạn hãy giải thích Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=7 và độ sâu cực đại m=8, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=7, m=8 thì b·m = 56 (đơn vị tỷ lệ, bỏ hằng số).",Search
Khái niệm AI winter là gì?,Là các giai đoạn suy giảm đầu tư và kỳ vọng vào AI do hạn chế công nghệ/tính toán và kết quả không như hứa hẹn.,IntroAI
Hãy trình bày Tác tử dựa trên mục tiêu có ưu điểm gì so với phản xạ?,"Có thể lập kế hoạch và lựa chọn hành động hướng tới trạng thái mục tiêu, linh hoạt hơn khi môi trường thay đổi.",Agents
"Bạn hãy cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=58 và heuristic h(n)=24, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=58+24=82.,SearchInformed
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=53 và heuristic h(n)=20, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=53+20=73.,SearchInformed
"Bạn hãy cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=53 và heuristic h(n)=24, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=53+24=77.,SearchInformed
Bạn hãy nêu Hàm mất mát cross-entropy phù hợp với loại bài toán nào?,"Phù hợp phân loại xác suất (nhị phân hoặc đa lớp), đo độ lệch giữa phân phối dự đoán và nhãn thật.",MachineLearning
Vì sao mạng nơ-ron cần hàm kích hoạt phi tuyến?,"Nếu chỉ có tuyến tính, nhiều lớp chồng lại vẫn tương đương một phép biến đổi tuyến tính, không học được quan hệ phi tuyến.",DeepLearning
"Bạn hãy nêu Hãy viết phủ định tương đương của công thức ∀u ∃v Teaches(u,v).","Phủ định: ¬∀u∃vTeaches(u,v) ≡ ∃u ∀v ¬Teaches(u,v).",LogicFOL
"Trong Iterative Deepening Search (IDS), với cây đều b=5 và độ sâu lời giải d=3, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=5, d=3 thì giá trị là 194.",Search
Bạn hãy nêu Giả sử cây tìm kiếm đều có hệ số phân nhánh b=2 và lời giải nông nhất ở độ sâu d=8. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 2 + 2^2 + … + 2^8 = (b^(d+1)−1)/(b−1) = 511.,Search
"Bạn hãy giải thích Trong A*, nếu một nút có chi phí đã đi g(n)=64 và heuristic h(n)=38, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=64+38=102.,SearchInformed
"Hãy trình bày Trong A*, nếu một nút có chi phí đã đi g(n)=59 và heuristic h(n)=36, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=59+36=95.,SearchInformed
"Hãy viết phủ định tương đương của công thức ∀i ∃j Knows(i,j).","Phủ định: ¬∀i∃jKnows(i,j) ≡ ∃i ∀j ¬Knows(i,j).",LogicFOL
"Bạn có thể cho biết Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=5 và độ sâu cực đại m=20, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=5, m=20 thì b·m = 100 (đơn vị tỷ lệ, bỏ hằng số).",Search
Bạn hãy giải thích Giả sử cây tìm kiếm đều có hệ số phân nhánh b=6 và lời giải nông nhất ở độ sâu d=3. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 6 + 6^2 + … + 6^3 = (b^(d+1)−1)/(b−1) = 259.,Search
"Bạn hãy giải thích Trong A*, nếu một nút có chi phí đã đi g(n)=61 và heuristic h(n)=11, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=61+11=72.,SearchInformed
"Bạn hãy cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=11 và heuristic h(n)=5, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=11+5=16.,SearchInformed
"Trong A*, nếu một nút có chi phí đã đi g(n)=36 và heuristic h(n)=31, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=36+31=67.,SearchInformed
"Bạn hãy giải thích Hãy viết phủ định tương đương của công thức ∀i ∃j Likes(i,j).","Phủ định: ¬∀i∃jLikes(i,j) ≡ ∃i ∀j ¬Likes(i,j).",LogicFOL
Bạn có thể cho biết Tác tử học (learning agent) gồm những thành phần nào?,"Thường gồm phần thực thi (performance element), phần học (learning element), phần phê bình (critic) và phần tạo trải nghiệm (problem generator).",Agents
AI winter nghĩa là gì?,Là các giai đoạn suy giảm đầu tư và kỳ vọng vào AI do hạn chế công nghệ/tính toán và kết quả không như hứa hẹn.,IntroAI
"Trong A*, nếu một nút có chi phí đã đi g(n)=8 và heuristic h(n)=18, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=8+18=26.,SearchInformed
"Bạn hãy cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=11 và heuristic h(n)=49, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=11+49=60.,SearchInformed
"Bạn hãy nêu Trong học máy, bộ (T, P, E) của Mitchell biểu diễn gì?","T: nhiệm vụ, P: thước đo hiệu năng, E: kinh nghiệm/dữ liệu; một hệ học khi P cải thiện trên T nhờ E.",MachineLearning
Tại sao dữ liệu lớn (big data) thúc đẩy sự phát triển của AI hiện đại?,"Vì nhiều mô hình học máy, đặc biệt là học sâu, cải thiện đáng kể khi có nhiều dữ liệu huấn luyện và nhãn.",IntroAI
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=5 và heuristic h(n)=5, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=5+5=10.,SearchInformed
"Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=9 và độ sâu cực đại m=5, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=9, m=5 thì b·m = 45 (đơn vị tỷ lệ, bỏ hằng số).",Search
Hãy trình bày Vì sao AI cần tri thức và suy diễn?,Tri thức giúp mô tả thế giới và nhiệm vụ; suy diễn giúp rút ra kết luận/ra quyết định từ tri thức và quan sát.,IntroAI
"Trong A*, nếu một nút có chi phí đã đi g(n)=76 và heuristic h(n)=38, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=76+38=114.,SearchInformed
Bạn hãy nêu Giả sử cây tìm kiếm đều có hệ số phân nhánh b=2 và lời giải nông nhất ở độ sâu d=7. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 2 + 2^2 + … + 2^7 = (b^(d+1)−1)/(b−1) = 255.,Search
"Hãy trình bày Hãy viết phủ định tương đương của công thức ∀a ∃b S(a,b).","Phủ định: ¬∀a∃bS(a,b) ≡ ∃a ∀b ¬S(a,b).",LogicFOL
"Bạn hãy cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=43 và heuristic h(n)=33, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=43+33=76.,SearchInformed
Bạn hãy cho biết Giả sử cây tìm kiếm đều có hệ số phân nhánh b=2 và lời giải nông nhất ở độ sâu d=6. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 2 + 2^2 + … + 2^6 = (b^(d+1)−1)/(b−1) = 127.,Search
Bạn hãy nêu DLS (Depth-Limited Search) giải quyết vấn đề gì của DFS?,DLS thêm giới hạn độ sâu để tránh đi vô hạn; đổi lại có thể bỏ lỡ lời giải nếu giới hạn nhỏ hơn độ sâu lời giải.,Search
Bạn hãy cho biết A* dùng hàm đánh giá f(n) như thế nào?,"A* chọn nút có f(n)=g(n)+h(n), với g là chi phí đã đi và h là ước lượng đến đích.",SearchInformed
Bạn có thể cho biết Bài toán thỏa mãn ràng buộc (CSP) được mô tả bởi ba thành phần nào?,"Gồm tập biến (variables), miền giá trị (domains) cho mỗi biến, và tập ràng buộc (constraints) giữa các biến.",CSP
"Bạn hãy nêu Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=2 và độ sâu cực đại m=20, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=2, m=20 thì b·m = 40 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Bạn hãy nêu Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=3 và độ sâu cực đại m=23, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=3, m=23 thì b·m = 69 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Hãy viết phủ định tương đương của công thức ∃i ∀j Likes(i,j).","Phủ định: ¬∃i∀jLikes(i,j) ≡ ∀i ∃j ¬Likes(i,j).",LogicFOL
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=46 và heuristic h(n)=0, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=46+0=46.,SearchInformed
"Bạn hãy nêu Trong Iterative Deepening Search (IDS), với cây đều b=6 và độ sâu lời giải d=5, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=6, d=5 thì giá trị là 11196.",Search
Bạn hãy giải thích Tác tử phản xạ đơn giản hoạt động theo nguyên tắc nào?,"Dựa trên các luật điều kiện–hành động, chọn hành động chỉ từ trạng thái nhận thức hiện tại mà không dùng mô hình nội bộ của thế giới.",Agents
Hãy trình bày Giả sử cây tìm kiếm đều có hệ số phân nhánh b=5 và lời giải nông nhất ở độ sâu d=9. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 5 + 5^2 + … + 5^9 = (b^(d+1)−1)/(b−1) = 2441406.,Search
"Hãy trình bày Trong A*, nếu một nút có chi phí đã đi g(n)=18 và heuristic h(n)=8, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=18+8=26.,SearchInformed
"Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=4 và độ sâu cực đại m=29, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=4, m=29 thì b·m = 116 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Bạn hãy cho biết Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=4 và độ sâu cực đại m=11, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=4, m=11 thì b·m = 44 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Bạn hãy nêu Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=6 và độ sâu cực đại m=23, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=6, m=23 thì b·m = 138 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Bạn có thể cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=17 và heuristic h(n)=50, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=17+50=67.,SearchInformed
Bạn có thể cho biết Giả sử cây tìm kiếm đều có hệ số phân nhánh b=4 và lời giải nông nhất ở độ sâu d=3. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 4 + 4^2 + … + 4^3 = (b^(d+1)−1)/(b−1) = 85.,Search
Khái niệm Các khoảng cách phổ biến trong KNN là gì?,"Thường dùng Euclidean (L2), Manhattan (L1), Minkowski; với văn bản có thể dùng cosine distance/similarity.",KNN
Bạn hãy cho biết Chương trình tác tử khác gì hàm tác tử?,Hàm tác tử là mô tả trừu tượng ánh xạ P*→A; chương trình tác tử là hiện thực cụ thể chạy trên một kiến trúc phần cứng/phần mềm.,Agents
"Bạn hãy cho biết Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=9 và độ sâu cực đại m=23, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=9, m=23 thì b·m = 207 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Trong A*, nếu một nút có chi phí đã đi g(n)=64 và heuristic h(n)=38, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=64+38=102.,SearchInformed
"Bạn hãy giải thích Trong A*, nếu một nút có chi phí đã đi g(n)=70 và heuristic h(n)=25, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=70+25=95.,SearchInformed
"Bạn có thể cho biết Hãy viết phủ định tương đương của công thức ∃a ∀b Likes(a,b).","Phủ định: ¬∃a∀bLikes(a,b) ≡ ∀a ∃b ¬Likes(a,b).",LogicFOL
Bạn hãy cho biết Vì sao mạng nơ-ron cần hàm kích hoạt phi tuyến?,"Nếu chỉ có tuyến tính, nhiều lớp chồng lại vẫn tương đương một phép biến đổi tuyến tính, không học được quan hệ phi tuyến.",DeepLearning
Hãy trình bày Giả sử cây tìm kiếm đều có hệ số phân nhánh b=6 và lời giải nông nhất ở độ sâu d=4. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 6 + 6^2 + … + 6^4 = (b^(d+1)−1)/(b−1) = 1555.,Search
Bạn hãy cho biết Giả sử cây tìm kiếm đều có hệ số phân nhánh b=7 và lời giải nông nhất ở độ sâu d=6. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 7 + 7^2 + … + 7^6 = (b^(d+1)−1)/(b−1) = 137257.,Search
Giả sử cây tìm kiếm đều có hệ số phân nhánh b=4 và lời giải nông nhất ở độ sâu d=5. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 4 + 4^2 + … + 4^5 = (b^(d+1)−1)/(b−1) = 1365.,Search
"Bạn có thể cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=11 và heuristic h(n)=38, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=11+38=49.,SearchInformed
Thí nghiệm Turing (Imitation Game) dùng để kiểm chứng điều gì?,"Dùng để kiểm chứng khả năng một máy có thể hành động thông minh như con người trong hội thoại, sao cho người hỏi không phân biệt được máy hay người.",IntroAI
"Bạn có thể cho biết Hãy viết phủ định tương đương của công thức ∃x ∀y R(x,y).","Phủ định: ¬∃x∀yR(x,y) ≡ ∀x ∃y ¬R(x,y).",LogicFOL
Bạn hãy nêu Giả sử cây tìm kiếm đều có hệ số phân nhánh b=4 và lời giải nông nhất ở độ sâu d=3. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 4 + 4^2 + … + 4^3 = (b^(d+1)−1)/(b−1) = 85.,Search
"Hãy trình bày Trong A*, nếu một nút có chi phí đã đi g(n)=64 và heuristic h(n)=12, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=64+12=76.,SearchInformed
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=29 và heuristic h(n)=34, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=29+34=63.,SearchInformed
Bạn có thể cho biết Học có giám sát yêu cầu dạng dữ liệu nào?,Yêu cầu dữ liệu có nhãn: mỗi mẫu x đi kèm nhãn y; mô hình học ánh xạ y=f(x).,MachineLearning
"Hãy trình bày Trong A*, nếu một nút có chi phí đã đi g(n)=2 và heuristic h(n)=12, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=2+12=14.,SearchInformed
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=21 và heuristic h(n)=37, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=21+37=58.,SearchInformed
Bạn hãy cho biết Transformer khác RNN truyền thống ở điểm cốt lõi nào?,"Dựa hoàn toàn trên cơ chế attention thay vì hồi tiếp theo thời gian, cho phép song song hóa và học phụ thuộc dài tốt hơn.",DeepLearning
"Hãy trình bày Trong Iterative Deepening Search (IDS), với cây đều b=3 và độ sâu lời giải d=2, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=3, d=2 thì giá trị là 18.",Search
