
question,answer,topic
Mục tiêu của việc dùng k-nearest neighbors cho hồi quy là gì?,Sử dụng KNN cho hồi quy nhằm ước lượng giá trị liên tục của đối tượng mới dựa trên giá trị trung bình của các láng giềng gần nhất.,KNN
So sánh KNN khi sử dụng cho phân loại và khi áp dụng cho hồi quy.,"Trong phân loại, KNN dùng voting để chọn nhãn rời rạc; trong hồi quy, nó dùng trung bình để dự đoán giá trị liên tục.",KNN
Ưu và nhược điểm của KNN khi dùng cho phân loại so với hồi quy là gì?,"Phân loại bằng KNN thường ổn định hơn vì nhãn rời rạc, còn hồi quy có thể nhạy cảm với ngoại lệ; cả hai đều đơn giản nhưng kém hiệu quả ở dữ liệu lớn.",KNN
Curse of dimensionality trong KNN nghĩa là gì?,"Curse of dimensionality đề cập tới hiện tượng dữ liệu trở nên thưa thớt khi số chiều tăng, khiến khoảng cách giữa các điểm trở nên tương đương và làm giảm hiệu quả của KNN.",KNN
Tại sao curse of dimensionality ảnh hưởng tới thuật toán láng giềng gần nhất?,"Khi số chiều lớn, tính khoảng cách Euclidean ít phân biệt được các điểm và KNN phải xử lý nhiều đặc trưng, dẫn đến chi phí tính toán cao và giảm chính xác.",KNN
Mục đích của việc giảm số chiều khi áp dụng k-NN là gì?,Giảm số chiều bằng chọn lọc đặc trưng hoặc giảm chiều giúp KNN tập trung vào đặc trưng quan trọng và cải thiện hiệu suất.,KNN
So sánh hiệu suất KNN khi số chiều tăng cao và khi giảm số chiều.,"Trong không gian cao chiều, KNN cần nhiều dữ liệu và thời gian để duyệt; khi giảm số chiều, khoảng cách trở nên có ý nghĩa hơn và dự đoán tốt hơn.",KNN
Điểm mạnh và hạn chế của k-nearest neighbors trong không gian nhiều chiều là gì?,KNN trong không gian nhiều chiều có thể tận dụng thông tin phong phú nhưng dễ bị curse of dimensionality; giảm chiều giúp cải thiện nhưng có nguy cơ mất thông tin.,KNN
Thuật toán Naive Bayes là gì?,Naive Bayes là thuật toán phân loại dựa trên định lý Bayes và giả định các đặc trưng độc lập có điều kiện.,NaiveBayes
Naive Bayes hoạt động thế nào?,Thuật toán tính xác suất hậu nghiệm của mỗi lớp dựa trên xác suất tiên nghiệm (prior) và likelihood rồi chọn lớp có xác suất cao nhất.,NaiveBayes
Naive Bayes dùng để làm gì trong phân loại?,"Naive Bayes được sử dụng để phân loại văn bản, lọc spam và các bài toán phân loại nhanh với giả định độc lập.",NaiveBayes
Naive Bayes khác KNN như thế nào?,"Naive Bayes là mô hình xác suất sử dụng thông tin thống kê, trong khi KNN dựa trên khoảng cách và không xây dựng mô hình explicit.",NaiveBayes
Ưu điểm và hạn chế của mô hình Naive Bayes là gì?,Naive Bayes đơn giản và hiệu quả trên dữ liệu lớn; nhược điểm là giả định độc lập hiếm khi đúng và có thể giảm chính xác.,NaiveBayes
Giả định độc lập trong Naive Bayes được hiểu như thế nào?,"Giả định độc lập cho rằng các đặc trưng đầu vào không phụ thuộc lẫn nhau khi tính xác suất điều kiện, giúp đơn giản hóa mô hình.",NaiveBayes
Làm thế nào giả định độc lập ảnh hưởng đến cách Naive Bayes tính toán?,"Nhờ giả định này, Naive Bayes nhân các xác suất của từng đặc trưng để tính xác suất chung, giảm chi phí tính toán.",NaiveBayes
Mục đích của việc giả định các đặc trưng độc lập trong thuật toán Naive Bayes là gì?,Giả định độc lập cho phép mô hình học nhanh từ ít dữ liệu và giảm số lượng tham số cần ước lượng trong Bayes classifier.,NaiveBayes
So sánh giả định độc lập của Naive Bayes với các thuật toán khác không đưa ra giả định này.,"Các mô hình như logistic regression không giả định độc lập và có thể nắm bắt tương tác giữa đặc trưng, do đó thường chính xác hơn trên dữ liệu phụ thuộc.",NaiveBayes
Điểm mạnh và yếu khi áp dụng giả định độc lập trong mô hình Naive Bayes là gì?,Ưu điểm là mô hình đơn giản và dễ giải thích; nhược điểm là hiệu năng kém khi các đặc trưng thực sự tương quan mạnh.,NaiveBayes
Định lý Bayes trong Naive Bayes là gì?,Định lý Bayes nêu rằng xác suất hậu nghiệm P(C|X) bằng tích của xác suất tiên nghiệm P(C) và likelihood P(X|C) chia cho xác suất bằng chứng P(X).,NaiveBayes
Naive Bayes tính xác suất hậu nghiệm như thế nào?,Naive Bayes tính posterior cho mỗi lớp bằng cách nhân xác suất prior với likelihood của các đặc trưng và so sánh các giá trị để chọn lớp có posterior cao nhất.,NaiveBayes
Mục đích của việc sử dụng prior và likelihood trong thuật toán Naive Bayes là gì?,Việc sử dụng prior và likelihood giúp cân bằng giữa kiến thức trước và thông tin từ dữ liệu khi dự đoán lớp cho một mẫu mới.,NaiveBayes
So sánh posterior và prior trong mô hình Naive Bayes.,"Prior phản ánh kiến thức trước về phân bố lớp, trong khi posterior kết hợp prior và dữ liệu; posterior được dùng để đưa ra dự đoán cuối cùng.",NaiveBayes
Ưu nhược điểm của việc tính posterior trong thuật toán Naive Bayes là gì?,"Ưu điểm là tính toán posterior cho phép phân loại nhanh; nhược điểm là nếu prior không chính xác hoặc dữ liệu không thỏa giả định độc lập, posterior có thể sai lệch.",NaiveBayes
Các biến thể của mô hình Naive Bayes bao gồm những gì?,"Các biến thể của Naive Bayes gồm Gaussian, Multinomial và Bernoulli, mỗi loại giả định phân bố xác suất khác nhau cho đặc trưng.",NaiveBayes
Gaussian Naive Bayes hoạt động như thế nào?,Gaussian Naive Bayes giả định dữ liệu số tuân theo phân bố chuẩn và tính likelihood bằng hàm mật độ chuẩn cho mỗi đặc trưng.,NaiveBayes
Mục đích của Multinomial Naive Bayes trong xử lý văn bản là gì?,"Multinomial Naive Bayes được sử dụng cho dữ liệu đếm như phân loại văn bản, vì nó mô hình hóa số lần xuất hiện của từ trong tài liệu.",NaiveBayes
So sánh Gaussian Naive Bayes và Bernoulli Naive Bayes.,"Gaussian phù hợp với dữ liệu liên tục, trong khi Bernoulli xử lý đặc trưng nhị phân; Multinomial làm việc với dữ liệu rời rạc và đếm.",NaiveBayes
"Ưu điểm và hạn chế của từng loại Naive Bayes như Gaussian, Multinomial và Bernoulli là gì?",Gaussian dễ áp dụng trên dữ liệu liên tục nhưng nhạy cảm với ngoại lệ; Multinomial xử lý văn bản hiệu quả nhưng giả định độc lập; Bernoulli đơn giản cho dữ liệu nhị phân nhưng mất thông tin về tần suất.,NaiveBayes
Naive Bayes được ứng dụng vào đâu?,"Naive Bayes được ứng dụng rộng rãi trong lọc email rác, phân loại văn bản, phân loại tin nhắn và dự đoán y tế.",NaiveBayes
Làm sao Naive Bayes lọc thư rác?,"Trong spam filtering, Naive Bayes tính xác suất một email là spam dựa trên tần suất từ khóa, sử dụng prior và likelihood để quyết định.",NaiveBayes
Mục đích của việc dùng Naive Bayes trong phân loại văn bản là gì?,Mục đích của việc dùng Naive Bayes trong phân loại văn bản là tận dụng mô hình xác suất đơn giản nhưng hiệu quả để gán nhãn nội dung.,NaiveBayes
So sánh Naive Bayes với SVM trong bài toán phân loại văn bản.,"Naive Bayes đơn giản và nhanh trên dữ liệu lớn, trong khi SVM có thể cho độ chính xác cao hơn nhưng tốn thời gian huấn luyện và tinh chỉnh.",NaiveBayes
Ưu nhược của việc áp dụng Naive Bayes cho spam filtering là gì?,Ưu điểm: spam filtering bằng Naive Bayes dễ triển khai và tốc độ cao; nhược điểm: giả định độc lập và thiếu linh hoạt khiến mô hình kém chính xác khi đặc trưng phụ thuộc.,NaiveBayes
BFS (breadth-first search) là gì?,BFS là thuật toán duyệt hoặc tìm kiếm đồ thị bắt đầu từ nút gốc và khám phá toàn bộ các nút ở một mức trước khi chuyển sang mức tiếp theo.,Search
Tìm kiếm theo chiều rộng hoạt động như thế nào?,"BFS sử dụng hàng đợi để lưu trữ các nút chưa xét; nó lấy nút đầu hàng đợi, thăm các nút kề chưa thăm và thêm vào cuối hàng đợi.",Search
BFS dùng để làm gì trong duyệt đồ thị?,"Trong duyệt đồ thị, BFS dùng để tìm đường ngắn nhất trên đồ thị vô hướng không trọng số và kiểm tra sự liên thông giữa các nút.",Search
So sánh BFS với DFS.,"BFS duyệt theo từng lớp và bảo đảm tìm đường ngắn nhất, còn DFS đi sâu vào từng nhánh trước và không bảo đảm đường ngắn nhất.",Search
Ưu điểm và hạn chế của BFS là gì?,"BFS đảm bảo tìm đường ngắn nhất nhưng cần nhiều bộ nhớ, đặc biệt với đồ thị rộng; nhược điểm là tốc độ chậm khi số nút lớn.",Search
DFS (depth-first search) là gì?,"DFS là thuật toán duyệt đồ thị đi sâu vào từng nhánh cho tới khi không còn nút chưa thăm, sau đó quay lui và tiếp tục nhánh khác.",Search
Tìm kiếm theo chiều sâu hoạt động như thế nào?,"DFS sử dụng ngăn xếp (stack) hoặc đệ quy; nó thăm một nút, đánh dấu đã thăm, rồi đệ quy thăm các nút kề chưa thăm cho đến khi hết đường đi.",Search
DFS dùng để làm gì trong thuật toán đồ thị?,"DFS giúp kiểm tra thành phần liên thông, tìm chu trình và hỗ trợ tô màu hoặc topological sort trong đồ thị có hướng.",Search
So sánh DFS và BFS.,"DFS đi sâu và có thể tìm thấy lời giải nhanh trong cây tìm kiếm, trong khi BFS duyệt mức và phù hợp để tìm đường ngắn nhất.",Search
Ưu điểm và hạn chế của DFS là gì?,"Ưu điểm của DFS là sử dụng ít bộ nhớ và có thể tìm lời giải nhanh nếu lời giải nằm sâu, nhược điểm là không đảm bảo tối ưu và dễ bị kẹt trong vòng lặp.",Search
Sự khác biệt cơ bản giữa BFS và DFS là gì?,"BFS duyệt theo từng lớp từ gốc, còn DFS đi sâu vào một nhánh trước khi quay lui.",Search
Cách hoạt động của BFS khác DFS ra sao?,BFS sử dụng hàng đợi trong khi DFS dùng ngăn xếp hoặc đệ quy để quản lý các nút cần thăm.,Search
Khi nào nên dùng BFS thay vì DFS?,Dùng BFS khi cần đường đi ngắn nhất trên đồ thị không trọng số; dùng DFS để khám phá cấu trúc hoặc kiểm tra chu trình.,Search
So sánh bộ nhớ cần dùng của DFS và BFS.,"BFS thường cần bộ nhớ nhiều hơn vì lưu trữ toàn bộ nút mỗi mức, còn DFS chỉ lưu đường hiện tại nên tốn ít bộ nhớ hơn.",Search
Ưu nhược của việc dùng BFS so với DFS là gì?,BFS đảm bảo đường tối ưu nhưng tốn bộ nhớ; DFS tiết kiệm bộ nhớ và đơn giản nhưng không đảm bảo tối ưu.,Search
Uniform-cost search là gì?,"Uniform-cost search (UCS) là thuật toán tìm kiếm trên đồ thị có trọng số, mở rộng nút theo chi phí đường đi tăng dần (g(n)).",Search
Uniform-cost search hoạt động như thế nào?,UCS sử dụng hàng đợi ưu tiên để chọn nút có chi phí đường đi nhỏ nhất và mở rộng tới khi tìm tới đích.,Search
Mục đích của uniform cost search so với breadth-first search là gì?,"UCS được dùng để tìm đường đi chi phí tối thiểu trong đồ thị có trọng số không âm, thay vì chỉ dựa trên số bậc như BFS.",Search
So sánh uniform-cost search và BFS.,"BFS xem mọi bước đi có chi phí bằng nhau, còn UCS xét chi phí thực; UCS sẽ trở thành BFS khi mọi cạnh có trọng số như nhau.",Search
Ưu điểm và nhược điểm của uniform-cost search là gì?,UCS tìm đường chi phí tối ưu nhưng chậm và dùng nhiều bộ nhớ; nhược điểm so với BFS là thời gian tăng với trọng số.,Search
Duyệt đồ thị khác duyệt cây như thế nào?,"Duyệt đồ thị phải xử lý các cạnh và chu trình phức tạp, còn duyệt cây áp dụng cho cấu trúc phân cấp không có chu trình.",Search
Cách hoạt động của duyệt đồ thị so với duyệt cây ra sao?,"Duyệt đồ thị cần đánh dấu nút đã thăm để tránh lặp lại, trong khi duyệt cây đơn giản hơn vì cấu trúc không có chu trình.",Search
Mục đích của việc đánh dấu nút đã thăm trong duyệt đồ thị là gì?,Đánh dấu nút đã thăm giúp tránh lặp vô hạn và đảm bảo mỗi nút trong đồ thị chỉ được xử lý một lần.,Search
So sánh độ phức tạp của duyệt cây và duyệt đồ thị.,"Duyệt đồ thị có độ phức tạp cao hơn do cần quản lý tập các nút đã thăm và tránh chu trình, trong khi duyệt cây tuyến tính với số nút.",Search
Ưu nhược điểm khi duyệt đồ thị so với duyệt cây là gì?,Duyệt đồ thị linh hoạt để giải quyết nhiều bài toán nhưng phức tạp và tốn bộ nhớ; duyệt cây đơn giản hơn nhưng chỉ áp dụng cho cấu trúc phân cấp.,Search
Heuristic trong tìm kiếm theo thông tin là gì?,Heuristic là hàm ước lượng chi phí từ trạng thái hiện tại đến mục tiêu nhằm hướng dẫn thuật toán tìm kiếm theo hướng hứa hẹn nhất.,SearchInformed
Hàm heuristic hoạt động ra sao trong thuật toán tìm kiếm?,"Trong tìm kiếm, hàm heuristic h(n) được tính cho mỗi nút để ước lượng chi phí còn lại; thuật toán sử dụng giá trị này để ưu tiên mở rộng nút có h(n) thấp.",SearchInformed
Mục đích của việc sử dụng hàm heuristic là gì?,Sử dụng heuristic giúp giảm số nút cần khám phá và tăng tốc độ tìm kiếm bằng cách tập trung vào những đường đi có triển vọng.,SearchInformed
So sánh heuristic với hàm chi phí thực (g(n)).,"Heuristic h(n) chỉ ước lượng chi phí tương lai, trong khi g(n) là chi phí đã đi; tổng hợp cả h(n) và g(n) trong A* cho phép cân bằng giữa chi phí thực và ước lượng.",SearchInformed
Ưu điểm và hạn chế của heuristic function là gì?,Ưu điểm: giảm không gian tìm kiếm và cải thiện hiệu suất; nhược điểm: nếu heuristic không chính xác có thể dẫn đến đường đi kém tối ưu hoặc tốn công tính toán.,SearchInformed
Thuật toán A* là gì?,A* là thuật toán tìm kiếm theo thông tin sử dụng hàm đánh giá f(n)=g(n)+h(n) để tìm đường đi tối ưu.,SearchInformed
A* hoạt động như thế nào?,"A* duyệt nút theo thứ tự tăng dần của f(n), trong đó g(n) là chi phí từ gốc đến n và h(n) là ước lượng chi phí còn lại; thuật toán kết thúc khi đạt mục tiêu.",SearchInformed
A* dùng để làm gì trong tìm kiếm đường đi?,"A* được dùng để tìm đường đi ngắn nhất trong đồ thị có trọng số, kết hợp giữa tìm kiếm theo chi phí và heuristic để đạt hiệu quả cao.",SearchInformed
So sánh A* với greedy best-first search.,"Greedy best-first search chỉ sử dụng heuristic h(n) nên không đảm bảo tối ưu, trong khi A* sử dụng cả g(n) và h(n) để bảo đảm tìm đường tối ưu nếu h(n) admissible.",SearchInformed
Ưu và nhược điểm của thuật toán A* là gì?,A* đảm bảo tối ưu với heuristic phù hợp nhưng tiêu thụ nhiều bộ nhớ; trong khi greedy nhanh hơn nhưng có thể không tìm được đường ngắn nhất.,SearchInformed
Heuristic admissible là gì trong A*?,"Heuristic admissible là hàm h(n) không bao giờ vượt quá chi phí thực từ n đến mục tiêu, bảo đảm không đánh giá thấp kết quả tối ưu.",SearchInformed
Tính nhất quán của heuristic ảnh hưởng như thế nào đến A*?,"Tính nhất quán yêu cầu h(n) không lớn hơn chi phí của cạnh từ n đến n' cộng h(n'), giúp A* không phải mở lại nút đã mở và đảm bảo đường đi tối ưu.",SearchInformed
Mục đích của việc dùng heuristic admissible và consistent trong thuật toán A* là gì?,"Heuristic admissible và consistent đảm bảo A* tìm đường tối ưu đồng thời giảm số lần mở lại nút, giúp thuật toán hiệu quả hơn.",SearchInformed
So sánh heuristic admissible và heuristic không admissible.,"Nếu heuristic không admissible, nó có thể đánh giá quá thấp hoặc quá cao chi phí và khiến A* bỏ lỡ đường tối ưu; heuristic admissible luôn an toàn hơn.",SearchInformed
Ưu và nhược điểm của heuristic consistent là gì?,Heuristic consistent đơn giản và bảo đảm tối ưu nhưng đôi khi kém chính xác; heuristic mạnh hơn có thể nhanh hơn nhưng cần kiểm tra admissibility.,SearchInformed
Greedy best-first search là gì?,Greedy best-first search là thuật toán tìm kiếm thông tin chỉ dựa trên hàm heuristic h(n) để chọn nút hứa hẹn nhất.,SearchInformed
Thuật toán greedy best-first search hoạt động ra sao?,"Thuật toán dùng hàng đợi ưu tiên để luôn chọn mở rộng nút có giá trị h(n) nhỏ nhất, bỏ qua chi phí g(n).",SearchInformed
Mục đích của greedy best-first search là gì?,"Greedy best-first search nhắm tới việc nhanh chóng tìm đường có vẻ ngắn nhất, thích hợp khi cần giải nhanh hơn là chính xác tuyệt đối.",SearchInformed
So sánh greedy best-first search với A*.,"Greedy chỉ xét h(n) nên có thể bỏ qua đường tối ưu, còn A* xét cả g(n) và h(n) nên đảm bảo tìm đường tối ưu nếu heuristic đúng.",SearchInformed
Ưu và nhược điểm của greedy best-first search là gì?,Ưu điểm: chạy nhanh và ít bộ nhớ; nhược điểm: không đảm bảo tối ưu và dễ mắc kẹt ở đường cụt nếu heuristic kém chính xác.,SearchInformed
Tìm kiếm thông tin (informed search) và tìm kiếm không thông tin khác nhau thế nào?,"Tìm kiếm thông tin sử dụng hàm heuristic để hướng dẫn việc mở rộng nút, còn tìm kiếm không thông tin như BFS chỉ dựa trên cấu trúc đồ thị.",SearchInformed
Cách hoạt động của thuật toán có heuristic khác gì so với thuật toán không có heuristic?,"Thuật toán có heuristic tính h(n) và ưu tiên mở nút có giá trị h(n) thấp, trong khi thuật toán uninformed lần lượt mở nút theo mức hoặc chiều sâu.",SearchInformed
Mục đích của việc dùng thông tin heuristic trong tìm kiếm là gì?,Thông tin heuristic giúp giảm không gian tìm kiếm và tìm giải nhanh hơn bằng cách hướng tới đích.,SearchInformed
So sánh hiệu suất của tìm kiếm theo thông tin và tìm kiếm theo chiều rộng.,"Informed search thường nhanh hơn và ít bộ nhớ hơn do mở ít nút, còn uninformed search như BFS có thể mất nhiều thời gian nhưng đơn giản và không cần heuristic.",SearchInformed
Ưu và nhược điểm của informed search so với uninformed search là gì?,Informed search hiệu quả nhưng phụ thuộc vào chất lượng heuristic; uninformed search ổn định hơn nhưng kém hiệu quả trên bài toán lớn.,SearchInformed
Logic mệnh đề là gì?,"Logic mệnh đề là hệ thống logic mà công thức được xây dựng từ các mệnh đề nguyên kết hợp bằng các toán tử như AND, OR, NOT.",Logic
Logic mệnh đề hoạt động như thế nào trong suy luận?,"Trong suy luận, logic mệnh đề biểu diễn tri thức dưới dạng mệnh đề và áp dụng các quy tắc suy diễn như modus ponens để rút ra kết luận.",Logic
Logic mệnh đề được dùng để làm gì?,Logic mệnh đề dùng để biểu diễn và suy diễn tri thức trong hệ chuyên gia và chứng minh định lý trong toán học.,Logic
So sánh logic mệnh đề với logic vị từ.,"Logic mệnh đề chỉ xử lý mệnh đề nguyên, trong khi logic vị từ (FOL) cho phép biến và lượng tử, do đó mạnh hơn.",Logic
Ưu điểm và hạn chế của logic mệnh đề là gì?,Ưu điểm: đơn giản và dễ tự động hóa; nhược điểm: không thể biểu diễn quan hệ phức tạp và thiếu tính biểu đạt so với logic vị từ.,Logic
CNF (dạng chuẩn hội) là gì?,"CNF, hay dạng chuẩn hội, là biểu thức logic được viết dưới dạng phép hội (AND) của các mệnh đề dạng phép tuyển (OR) của các literal.",Logic
Làm thế nào để chuyển một công thức logic sang CNF?,"Để chuyển sang CNF, ta áp dụng các luật tương đương logic: đẩy NOT vào trong, dùng luật phân phối để đưa công thức về dạng hội của tuyển.",Logic
Mục đích của dạng CNF trong suy diễn tự động là gì?,"CNF được dùng trong thuật toán suy diễn và kiểm tra tính thoả mãn, giúp các bộ giải SAT xử lý dễ dàng.",Logic
So sánh CNF và DNF (dạng chuẩn disjunction).,DNF là phép tuyển các mệnh đề dạng phép hội; CNF phù hợp cho giải SAT trong khi DNF phù hợp cho biểu diễn hàm boolean đơn giản.,Logic
Ưu và nhược điểm của việc sử dụng CNF là gì?,Ưu điểm: CNF chuẩn hoá biểu thức để áp dụng thuật toán SAT; nhược điểm: chuyển đổi có thể làm tăng kích thước biểu thức.,Logic
Luật modus ponens là gì?,Modus ponens là quy tắc suy diễn: từ mệnh đề P và câu điều kiện (P → Q) có thể suy ra Q.,Logic
Modus ponens được áp dụng như thế nào trong suy luận mệnh đề?,"Để áp dụng modus ponens, ta kiểm tra xem mệnh đề P đúng và có điều kiện P kéo theo Q; khi đó kết luận Q được rút ra.",Logic
Mục đích của modus ponens trong logic là gì?,Mục đích của modus ponens là cho phép suy ra kết luận logic từ tiền đề và một luật kéo theo trong hệ thống suy luận.,Logic
So sánh modus ponens và modus tollens.,"Modus ponens suy ra Q từ P và P→Q, còn modus tollens suy ra ¬P từ ¬Q và P→Q.",Logic
Ưu nhược của việc sử dụng modus ponens là gì?,Modus ponens đơn giản và mạnh mẽ nhưng chỉ áp dụng cho cấu trúc điều kiện cơ bản; không dùng được cho lập luận không điều kiện.,Logic
Quy tắc suy diễn resolution là gì?,"Resolution là quy tắc suy diễn cho biểu thức logic ở dạng CNF, kết hợp hai mệnh đề chứa literal bù trừ để suy ra mệnh đề mới.",Logic
Resolution hoạt động như thế nào để chứng minh mệnh đề?,"Trong resolution, ta chọn hai clause chứa một literal và phủ định của nó, loại bỏ cặp này và hợp nhất các literal còn lại để tạo clause mới.",Logic
Mục đích của quy tắc resolution trong giải thuật SAT là gì?,Resolution được sử dụng trong thuật toán kiểm tra tính thỏa mãn và chứng minh mệnh đề bằng cách thu hẹp dần đến mệnh đề rỗng (mâu thuẫn).,Logic
So sánh resolution với modus ponens.,"Resolution làm việc trực tiếp trên CNF và có thể tự động hóa, trong khi modus ponens là quy tắc cơ bản hoạt động trên hàm kéo theo.",Logic
Ưu và nhược điểm của resolution là gì?,Ưu điểm: resolution là kỹ thuật tổng quát cho chứng minh tự động; nhược điểm: có thể bùng nổ số clause và yêu cầu chuyển toàn bộ biểu thức sang CNF.,Logic
So sánh logic mệnh đề và logic vị từ là gì?,"Logic mệnh đề biểu diễn câu đơn không có biến, còn logic vị từ (predicate logic) sử dụng biến, hàm và lượng tử để diễn tả quan hệ phức tạp.",Logic
Cách biểu diễn tri thức khác nhau giữa logic mệnh đề và logic vị từ như thế nào?,"Trong logic vị từ, tri thức được biểu diễn bằng mệnh đề chứa biến và các lượng tử ∀, ∃; suy diễn cần thay thế và chuẩn hoá các biến để chứng minh.",Logic
Khi nào nên sử dụng logic vị từ thay vì logic mệnh đề?,"Logic vị từ cho phép mô tả cấu trúc phức tạp như quan hệ giữa đối tượng và thuộc tính, nên được dùng cho các hệ tri thức tổng quát.",Logic
Logic vị từ có ưu điểm gì so với mệnh đề?,Logic vị từ mạnh hơn logic mệnh đề vì nó có thể diễn tả quan hệ và lượng tử; logic mệnh đề đơn giản nhưng kém biểu đạt.,Logic
Ưu nhược điểm khi sử dụng logic vị từ là gì?,Ưu điểm: logic vị từ có tính biểu đạt cao; nhược điểm: suy diễn phức tạp hơn và tiêu tốn tài nguyên tính toán.,Logic
Overfitting và underfitting là gì?,"Overfitting xảy ra khi mô hình học cả nhiễu trong dữ liệu huấn luyện và không tổng quát hóa, còn underfitting khi mô hình quá đơn giản không học đủ cấu trúc dữ liệu.",MachineLearning
Làm thế nào để nhận biết mô hình bị overfitting?,Nhận biết overfitting bằng cách thấy độ chính xác cao trên tập huấn luyện nhưng kém trên tập kiểm tra; khoảng cách giữa hai độ chính xác càng lớn càng cho thấy quá khớp.,MachineLearning
Mục đích của việc tránh overfitting trong học máy là gì?,"Tránh overfitting nhằm tạo mô hình có khả năng tổng quát tốt, hoạt động hiệu quả trên dữ liệu chưa từng thấy.",MachineLearning
So sánh overfitting và underfitting.,"Overfitting có lỗi huấn luyện thấp và lỗi kiểm tra cao, còn underfitting có cả hai lỗi cao vì mô hình quá đơn giản.",MachineLearning
Ưu và nhược điểm của mô hình phức tạp trong học máy là gì?,Mô hình phức tạp có khả năng học pattern phức tạp nhưng dễ overfit; mô hình đơn giản ít overfit nhưng có thể underfit và bỏ lỡ cấu trúc dữ liệu quan trọng.,MachineLearning
Tập huấn luyện (training set) là gì?,Tập huấn luyện là bộ dữ liệu được sử dụng trong quá trình học để điều chỉnh tham số của mô hình.,MachineLearning
Tập huấn luyện được sử dụng như thế nào trong quá trình học máy?,Mô hình học máy sử dụng các ví dụ trong training set để cập nhật trọng số hoặc tham số nhằm tối ưu hàm mất mát.,MachineLearning
Mục đích của việc chia dữ liệu thành tập huấn luyện là gì?,Chia dữ liệu thành training set giúp mô hình học được cấu trúc ẩn và tối ưu hoá tham số trước khi đánh giá trên dữ liệu chưa thấy.,MachineLearning
