question,answer,topic
"Gradient Descent là gì?","Là thuật toán tối ưu hóa, cập nhật tham số theo hướng ngược gradient để tối thiểu hóa hàm mất mát.",MachineLearning
"Learning Rate là gì?","Là tham số điều khiển bước nhảy khi cập nhật trọng số trong quá trình huấn luyện.",MachineLearning
"Batch Size là gì?","Là số lượng mẫu dữ liệu được xử lý trong một lần cập nhật trọng số.",MachineLearning
"Epoch là gì?","Là một lần duyệt qua toàn bộ tập dữ liệu huấn luyện.",MachineLearning
"Regularization là gì?","Là kỹ thuật thêm penalty vào hàm mất mát để giảm overfitting, ví dụ L1, L2.",MachineLearning
"Dropout là gì?","Dropout là kỹ thuật tắt ngẫu nhiên một số neuron trong quá trình huấn luyện để giảm overfitting.",MachineLearning
"Precision là gì?","Precision = TP/(TP+FP), đo tỷ lệ dự đoán đúng trong các mẫu được dự đoán dương.",MachineLearning
"Recall là gì?","Recall = TP/(TP+FN), đo tỷ lệ phát hiện đúng trong các mẫu thực sự là dương.",MachineLearning
"F1-Score là gì?","F1-Score là trung bình điều hòa của Precision và Recall, cân bằng hai chỉ số này.",MachineLearning
"Confusion Matrix là gì?","Ma trận nhầm lẫn thể hiện TP, TN, FP, FN để đánh giá chất lượng phân loại.",MachineLearning
"ROC Curve là gì?","ROC Curve vẽ True Positive Rate vs False Positive Rate ở các ngưỡng khác nhau.",MachineLearning
"AUC là gì?","AUC (Area Under Curve) là diện tích dưới đường ROC, đo khả năng phân biệt của mô hình.",MachineLearning
"Bias-Variance Tradeoff là gì?","Là sự đánh đổi giữa lỗi do mô hình quá đơn giản (bias cao) và quá phức tạp (variance cao).",MachineLearning
"Feature Selection là gì?","Là quá trình chọn các đặc trưng quan trọng nhất để cải thiện hiệu suất mô hình.",MachineLearning
"Feature Engineering là gì?","Là quá trình tạo đặc trưng mới từ dữ liệu thô để mô hình học tốt hơn.",MachineLearning
"Data Augmentation là gì?","Là kỹ thuật tăng cường dữ liệu bằng cách biến đổi (xoay, lật, cắt) để mở rộng tập huấn luyện.",MachineLearning
"Transfer Learning là gì?","Là kỹ thuật sử dụng mô hình đã huấn luyện trên tập dữ liệu lớn để áp dụng cho bài toán mới.",MachineLearning
"Tác tử là gì?","Tác tử (Agent) là thực thể có khả năng cảm nhận môi trường xung quanh qua cảm biến và hành động thông qua bộ phận chấp hành.",Agents
"PEAS gồm những thành phần nào?","PEAS gồm bốn thành phần: Performance measure, Environment, Actuators, Sensors – dùng để mô tả tác tử và môi trường hoạt động.",Agents
"Tác tử hợp lý là gì?","Là tác tử luôn chọn hành động giúp tối đa hóa tiêu chí đánh giá hiệu quả hoạt động dựa trên nhận thức hiện có.",Agents
"Tác tử phản xạ đơn giản là gì?","Là tác tử chọn hành động chỉ dựa trên trạng thái hiện tại, không ghi nhớ lịch sử.",Agents
"Tác tử dựa trên mô hình là gì?","Là tác tử có mô hình về cách thế giới hoạt động để dự đoán trạng thái tiếp theo.",Agents
"Tác tử mục tiêu là gì?","Là tác tử lựa chọn hành động để đạt được một mục tiêu nhất định thay vì phản ứng đơn thuần.",Agents
"Tác tử tiện ích là gì?","Là tác tử đánh giá hành động dựa trên hàm tiện ích, cho phép so sánh mức độ mong muốn của các trạng thái.",Agents
"Tác tử tự trị là gì?","Là tác tử có thể ra quyết định dựa trên kinh nghiệm và tri thức của chính nó mà không cần can thiệp bên ngoài.",Agents
"Môi trường có thể quan sát hoàn toàn là gì?","Là môi trường trong đó tác tử biết đầy đủ trạng thái hiện tại của nó.",Agents
"Môi trường ngẫu nhiên là gì?","Là môi trường mà kết quả hành động của tác tử không thể dự đoán chính xác do yếu tố ngẫu nhiên.",Agents
"Môi trường tĩnh là gì?","Là môi trường không thay đổi trong khi tác tử đang suy nghĩ.",Agents
"Môi trường động là gì?","Là môi trường có thể thay đổi trong khi tác tử đang suy nghĩ ra quyết định.",Agents
"Môi trường rời rạc là gì?","Là môi trường có số lượng trạng thái và hành động hữu hạn, đếm được.",Agents
"Môi trường liên tục là gì?","Là môi trường có vô số trạng thái hoặc hành động, như điều khiển robot.",Agents
"Môi trường đa tác tử là gì?","Là môi trường có nhiều tác tử cùng hoạt động, có thể hợp tác hoặc cạnh tranh.",Agents
"Tác tử học là gì?","Là tác tử có khả năng cải thiện hành vi dựa trên kinh nghiệm và phản hồi từ môi trường.",Agents
"Cảm biến (Sensor) là gì?","Là thiết bị giúp tác tử thu thập thông tin từ môi trường.",Agents
"Bộ chấp hành (Actuator) là gì?","Là thiết bị giúp tác tử thực hiện hành động tác động lên môi trường.",Agents
"Hàm tác tử là gì?","Là ánh xạ từ chuỗi nhận thức sang hành động mà tác tử thực hiện.",Agents
"Chương trình tác tử là gì?","Là cài đặt cụ thể của hàm tác tử trên phần cứng hoặc phần mềm.",Agents
"Tác tử hợp lý lý tưởng là gì?","Là tác tử luôn chọn hành động tối đa hóa kỳ vọng hiệu suất với mọi chuỗi nhận thức có thể.",Agents
"Omniscience khác Rationality như thế nào?","Omniscience là biết tất cả, còn Rationality là hành động tối ưu dựa trên thông tin hiện có.",Agents
"Tác tử phản xạ có điều kiện là gì?","Là tác tử có thể theo dõi một phần trạng thái môi trường thông qua bộ nhớ nội bộ.",Agents
"Performance Measure là gì?","Là tiêu chí đánh giá mức độ thành công của tác tử trong việc hoàn thành nhiệm vụ.",Agents
"Tính tự trị của tác tử phụ thuộc vào gì?","Phụ thuộc vào khả năng học và thích nghi với môi trường thay vì chỉ dựa vào tri thức ban đầu.",Agents
"Tìm kiếm theo chiều rộng (BFS) là gì?","BFS mở rộng các nút ở cùng độ sâu trước khi đi sâu hơn – thường dùng hàng đợi (queue) để lưu trữ trạng thái.",Search
"DFS khác BFS như thế nào?","DFS đi sâu theo nhánh đầu tiên, dùng ngăn xếp; BFS đi theo từng lớp, dùng hàng đợi.",Search
"DFS là gì?","DFS (Depth-First Search) là thuật toán tìm kiếm theo chiều sâu, đi hết một nhánh trước khi quay lại.",Search
"BFS là gì?","BFS (Breadth-First Search) là thuật toán tìm kiếm theo chiều rộng, mở rộng tất cả nút ở cùng độ sâu.",Search
"Tìm kiếm theo chiều sâu lặp lại là gì?","Là sự kết hợp giữa DFS và BFS, lặp dần theo giới hạn độ sâu để đảm bảo tính hoàn chỉnh.",Search
"Chi phí đường đi là gì?","Là tổng chi phí của các hành động từ trạng thái gốc đến trạng thái hiện tại.",Search
"Thuật toán A* là gì?","A* là thuật toán tìm kiếm tối ưu sử dụng hàm f(n) = g(n) + h(n), trong đó g là chi phí đã đi và h là ước lượng còn lại.",Search
"Hàm heuristic là gì?","Là hàm ước lượng chi phí còn lại từ trạng thái hiện tại đến trạng thái đích, giúp tìm kiếm hiệu quả hơn.",Search
"Best First Search là gì?","Là thuật toán chọn mở rộng nút có giá trị heuristic nhỏ nhất, hướng đến đích nhanh.",Search
"Uniform Cost Search là gì?","Là thuật toán mở rộng nút có chi phí đường đi nhỏ nhất, đảm bảo tìm được đường đi tối ưu.",Search
"Hill Climbing là gì?","Là thuật toán leo đồi, luôn di chuyển đến trạng thái có giá trị tốt hơn, dễ mắc kẹt tại cực trị địa phương.",Search
"Simulated Annealing là gì?","Là thuật toán tìm kiếm ngẫu nhiên, cho phép chấp nhận bước tồi tạm thời để tránh mắc kẹt cực trị địa phương.",Search
"Genetic Algorithm là gì?","Là thuật toán mô phỏng tiến hóa sinh học qua chọn lọc, lai ghép và đột biến để tối ưu nghiệm.",Search
"Beam Search là gì?","Là thuật toán tìm kiếm song song, chỉ giữ lại k trạng thái tốt nhất ở mỗi bước mở rộng.",Search
"Tính hoàn chỉnh của thuật toán tìm kiếm là gì?","Là khả năng đảm bảo tìm ra lời giải nếu nó tồn tại.",Search
"Tính tối ưu của thuật toán tìm kiếm là gì?","Là khả năng tìm ra lời giải có chi phí thấp nhất.",Search
"Độ phức tạp thời gian của BFS là gì?","O(b^d) với b là branching factor và d là độ sâu của lời giải.",Search
"Độ phức tạp không gian của DFS là gì?","O(bm) với b là branching factor và m là độ sâu lớn nhất của cây.",Search
"Heuristic admissible là gì?","Là heuristic không bao giờ đánh giá cao hơn chi phí thực tế đến đích.",Search
"Heuristic consistent là gì?","Là heuristic thỏa mãn bất đẳng thức tam giác với mọi hành động.",Search
"Local Search là gì?","Là thuật toán tìm kiếm chỉ giữ trạng thái hiện tại và di chuyển đến trạng thái lân cận.",Search
"Cực trị địa phương (Local Optimum) là gì?","Là trạng thái tốt hơn tất cả các trạng thái lân cận nhưng không phải tốt nhất toàn cục.",Search
"Random Restart là gì?","Là kỹ thuật khởi động lại Hill Climbing từ vị trí ngẫu nhiên để tránh local optimum.",Search
"Tabu Search là gì?","Là thuật toán tìm kiếm cấm quay lại các trạng thái đã thăm gần đây.",Search
"Minimax là gì?","Là thuật toán tìm kiếm trong game đối kháng, tối đa hóa lợi ích cho mình và tối thiểu cho đối thủ.",Search
"Alpha-Beta Pruning là gì?","Là kỹ thuật cắt tỉa nhánh trong Minimax để giảm số nút cần duyệt.",Search
"Branching Factor là gì?","Là số lượng nhánh con trung bình của mỗi nút trong cây tìm kiếm.",Search
"Frontier là gì?","Là tập hợp các nút đã được sinh ra nhưng chưa được mở rộng.",Search
"Explored Set là gì?","Là tập hợp các nút đã được mở rộng để tránh lặp lại.",Search
"Graph Search khác Tree Search như thế nào?","Graph Search tránh lặp trạng thái bằng explored set, Tree Search không kiểm tra lặp.",Search
"Logic mệnh đề là gì?","Logic mệnh đề là hệ thống logic trong đó các phát biểu có giá trị Đúng hoặc Sai.",Logic
"Logic vị từ khác logic mệnh đề ở điểm nào?","Logic vị từ mở rộng logic mệnh đề bằng biến, hàm và lượng từ.",Logic
"Lượng từ tồn tại nghĩa là gì?","Là ký hiệu ∃x, biểu thị ""tồn tại ít nhất một x"" thoả mãn mệnh đề.",Logic
"Lượng từ với mọi nghĩa là gì?","Là ký hiệu ∀x, biểu thị ""với mọi x"" mệnh đề đều đúng.",Logic
"Mệnh đề kéo theo là gì?","Là mệnh đề có dạng P → Q, chỉ sai khi P đúng và Q sai.",Logic
"Phủ định của một mệnh đề là gì?","Là mệnh đề có giá trị chân lý ngược lại so với mệnh đề ban đầu.",Logic
"Luật De Morgan là gì?","Là quy tắc: ¬(A ∧ B) = ¬A ∨ ¬B và ¬(A ∨ B) = ¬A ∧ ¬B.",Logic
"Hợp nhất trong logic vị từ là gì?","Là quá trình tìm phép gán biến để hai biểu thức logic trở nên giống nhau.",Logic
"Suy diễn tiến là gì?","Là quá trình áp dụng luật từ dữ liệu hiện có để suy ra tri thức mới.",Logic
"Suy diễn lùi là gì?","Là quá trình bắt đầu từ mục tiêu rồi truy ngược lại các điều kiện cần thỏa.",Logic
"Chứng minh bằng phản chứng là gì?","Là chứng minh mệnh đề P đúng bằng cách giả sử P sai và dẫn đến mâu thuẫn.",Logic
"CNF (Conjunctive Normal Form) là gì?","Là dạng chuẩn của biểu thức logic, biểu diễn bằng tích của các tổng.",Logic
"DNF (Disjunctive Normal Form) là gì?","Là dạng chuẩn biểu diễn bằng tổng của các tích.",Logic
"Resolution là gì?","Là quy tắc suy diễn trong logic mệnh đề: từ (A ∨ B) và (¬A ∨ C) suy ra (B ∨ C).",Logic
"Modus Ponens là gì?","Là quy tắc: nếu P → Q đúng và P đúng, thì Q đúng.",Logic
"Modus Tollens là gì?","Là quy tắc: nếu P → Q đúng và Q sai, thì P sai.",Logic
"Phép hội (Conjunction) là gì?","Phép AND (∧), đúng khi cả hai mệnh đề đều đúng.",Logic
"Phép tuyển (Disjunction) là gì?","Phép OR (∨), đúng khi ít nhất một mệnh đề đúng.",Logic
"Phép tương đương là gì?","P ↔ Q đúng khi P và Q có cùng giá trị chân lý.",Logic
"Literal là gì?","Là biến mệnh đề hoặc phủ định của nó, ví dụ P hoặc ¬P.",Logic
"Clause là gì?","Là tuyển (OR) của các literal, ví dụ (A ∨ ¬B ∨ C).",Logic
"Satisfiable là gì?","Công thức logic là satisfiable nếu tồn tại cách gán giá trị làm nó đúng.",Logic
"Valid (Tautology) là gì?","Công thức luôn đúng với mọi cách gán giá trị.",Logic
"Unsatisfiable là gì?","Công thức luôn sai với mọi cách gán giá trị.",Logic
"Skolemization là gì?","Là quá trình loại bỏ lượng từ tồn tại bằng cách thay bằng hàm Skolem.",Logic
"Biểu diễn tri thức là gì?","Là cách thức mô tả tri thức trong máy tính để hệ thống có thể suy luận được.",Knowledge
"Luật sản xuất là gì?","Là dạng IF-THEN biểu diễn mối quan hệ giữa điều kiện và hành động.",Knowledge
"Mạng ngữ nghĩa là gì?","Là đồ thị gồm các đỉnh biểu diễn khái niệm và cạnh biểu diễn quan hệ giữa chúng.",Knowledge
"Khung (Frame) là gì?","Là cấu trúc dữ liệu mô tả đối tượng bằng các thuộc tính và giá trị.",Knowledge
"Ontology là gì?","Là tập hợp các khái niệm và quan hệ được định nghĩa trong một miền tri thức.",Knowledge
"Logic mờ (Fuzzy Logic) là gì?","Là logic cho phép giá trị chân lý nằm giữa 0 và 1, thay vì chỉ đúng hoặc sai.",Knowledge
"Tri thức khai báo là gì?","Là tri thức mô tả sự vật, sự việc bằng các phát biểu, không chỉ rõ cách thực hiện.",Knowledge
"Tri thức thủ tục là gì?","Là tri thức mô tả cách thức thực hiện một nhiệm vụ, ví dụ như thuật toán.",Knowledge
"Hệ chuyên gia là gì?","Là hệ thống sử dụng tri thức chuyên môn để giải quyết vấn đề như con người.",Knowledge
"Inference Engine là gì?","Là thành phần của hệ chuyên gia dùng để suy luận từ tri thức có sẵn.",Knowledge
"Knowledge Base là gì?","Là cơ sở dữ liệu chứa tri thức dưới dạng sự kiện và luật.",Knowledge
"Working Memory là gì?","Là bộ nhớ chứa các sự kiện hiện tại trong hệ chuyên gia.",Knowledge
"Explanation Facility là gì?","Là thành phần giải thích cách hệ chuyên gia đưa ra kết luận.",Knowledge
"Script là gì?","Là cấu trúc biểu diễn chuỗi sự kiện theo kịch bản, ví dụ đi nhà hàng.",Knowledge
"Default Reasoning là gì?","Là suy luận dựa trên giả định mặc định khi thiếu thông tin.",Knowledge
"Closed World Assumption là gì?","Là giả định mọi điều không được khai báo đúng thì được coi là sai.",Knowledge
"Open World Assumption là gì?","Là giả định mọi điều không được khai báo thì chưa biết (unknown).",Knowledge
"Monotonic Reasoning là gì?","Là suy luận mà kết luận không thay đổi khi thêm tri thức mới.",Knowledge
"Non-monotonic Reasoning là gì?","Là suy luận có thể rút lại kết luận khi có thêm thông tin mới.",Knowledge
"Inheritance trong mạng ngữ nghĩa là gì?","Là cơ chế các khái niệm con thừa kế thuộc tính từ khái niệm cha.",Knowledge
"IS-A Relation là gì?","Là quan hệ ""là một"", ví dụ Chó IS-A Động vật.",Knowledge
"PART-OF Relation là gì?","Là quan hệ ""là một phần của"", ví dụ Bánh xe PART-OF Xe.",Knowledge
"Slot trong Frame là gì?","Là thuộc tính của frame, có thể chứa giá trị hoặc liên kết.",Knowledge
"Filler là gì?","Là giá trị được điền vào slot của frame.",Knowledge
"Facet là gì?","Là ràng buộc hoặc meta-information về slot, ví dụ kiểu dữ liệu.",Knowledge
"Neural Network là gì?","Mạng nơ-ron là mô hình học máy lấy cảm hứng từ não bộ, gồm các neuron kết nối.",DeepLearning
"Perceptron là gì?","Perceptron là đơn vị cơ bản của neural network, tính tổng có trọng số và áp dụng hàm kích hoạt.",DeepLearning
"Hàm kích hoạt (Activation Function) là gì?","Là hàm phi tuyến áp dụng lên output của neuron, như ReLU, Sigmoid, Tanh.",DeepLearning
"ReLU là gì?","ReLU = max(0, x), là hàm kích hoạt phổ biến nhất trong deep learning.",DeepLearning
"Sigmoid là gì?","Sigmoid = 1/(1+e^-x), nén output về khoảng (0,1), thường dùng cho xác suất.",DeepLearning
"Softmax là gì?","Softmax chuyển vector thành phân phối xác suất, tổng bằng 1.",DeepLearning
"Backpropagation là gì?","Là thuật toán tính gradient bằng chain rule để cập nhật trọng số.",DeepLearning
"Loss Function là gì?","Là hàm đo lường sai lệch giữa dự đoán và giá trị thực.",DeepLearning
"Cross-Entropy Loss là gì?","Là hàm mất mát phổ biến cho phân loại, đo khoảng cách giữa hai phân phối.",DeepLearning
"MSE (Mean Squared Error) là gì?","Là trung bình bình phương sai số, thường dùng cho hồi quy.",DeepLearning
"CNN là gì?","Convolutional Neural Network là mạng chuyên xử lý ảnh, dùng phép tích chập.",DeepLearning
"Convolutional Layer là gì?","Là lớp áp dụng bộ lọc (kernel) trượt qua ảnh để trích xuất đặc trưng.",DeepLearning
"Pooling Layer là gì?","Là lớp giảm kích thước không gian của feature map, như Max Pooling.",DeepLearning
"RNN là gì?","Recurrent Neural Network là mạng có kết nối ngược để xử lý dữ liệu tuần tự.",DeepLearning
"LSTM là gì?","Long Short-Term Memory là RNN cải tiến với cơ chế cổng để nhớ dài hạn.",DeepLearning
"GRU là gì?","Gated Recurrent Unit là phiên bản đơn giản hơn của LSTM với ít cổng hơn.",DeepLearning
"Attention Mechanism là gì?","Là cơ chế cho phép mô hình tập trung vào các phần quan trọng của input.",DeepLearning
"Transformer là gì?","Transformer là kiến trúc dựa hoàn toàn trên attention, nền tảng của BERT, GPT.",DeepLearning
"BERT là gì?","BERT là mô hình ngôn ngữ pre-trained của Google, hiểu ngữ cảnh hai chiều.",DeepLearning
"GPT là gì?","GPT là mô hình sinh văn bản của OpenAI, sử dụng kiến trúc Transformer decoder.",DeepLearning
"Vanishing Gradient là gì?","Là hiện tượng gradient quá nhỏ khi lan truyền ngược, làm mạng khó học.",DeepLearning
"Exploding Gradient là gì?","Là hiện tượng gradient quá lớn, gây bất ổn định trong huấn luyện.",DeepLearning
"Batch Normalization là gì?","Là kỹ thuật chuẩn hóa input của mỗi lớp để huấn luyện ổn định hơn.",DeepLearning
"Weight Initialization là gì?","Là cách khởi tạo trọng số ban đầu, ảnh hưởng đến tốc độ hội tụ.",DeepLearning
"Fine-tuning là gì?","Là quá trình tinh chỉnh mô hình pre-trained trên dữ liệu mới.",DeepLearning
"Ứng dụng của AI trong y tế là gì?","AI giúp chẩn đoán hình ảnh, phân tích gen và hỗ trợ bác sĩ ra quyết định điều trị.",Applications
"Ứng dụng của AI trong giáo dục là gì?","AI có thể cá nhân hóa học tập, chấm bài tự động và hỗ trợ học sinh luyện tập.",Applications
"Ứng dụng của AI trong giao thông là gì?","AI được dùng trong xe tự lái, quản lý luồng giao thông và dự báo tắc đường.",Applications
"Ứng dụng của AI trong thương mại điện tử là gì?","AI phân tích hành vi mua sắm, gợi ý sản phẩm và tối ưu trải nghiệm khách hàng.",Applications
"Chatbot AI là gì?","Là chương trình có khả năng hiểu và phản hồi ngôn ngữ tự nhiên để giao tiếp với người dùng.",Applications
"AlphaGo là gì?","AlphaGo là hệ thống AI của Google DeepMind đã đánh bại kỳ thủ cờ vây hàng đầu thế giới.",Applications
"GAN là gì?","Generative Adversarial Network gồm hai mạng đối kháng để sinh ra dữ liệu mới giống thật.",Applications
"Robot thông minh khác robot thường ở điểm nào?","Robot thông minh có khả năng học, nhận thức và thích nghi với môi trường.",Applications
"Tương lai của AI là gì?","AI sẽ phát triển mạnh trong tự động hóa, sáng tạo nội dung, y sinh học và giáo dục thông minh.",Applications
"Computer Vision là gì?","Là lĩnh vực AI xử lý và hiểu hình ảnh, video như con người nhìn.",Applications
"NLP (Natural Language Processing) là gì?","Là lĩnh vực AI xử lý ngôn ngữ tự nhiên của con người.",Applications
"Speech Recognition là gì?","Là công nghệ chuyển giọng nói thành văn bản.",Applications
"Text-to-Speech là gì?","Là công nghệ chuyển văn bản thành giọng nói.",Applications
"Sentiment Analysis là gì?","Là phân tích cảm xúc trong văn bản, xác định tích cực, tiêu cực hay trung tính.",Applications
"Named Entity Recognition là gì?","Là nhận diện các thực thể có tên như người, địa điểm, tổ chức trong văn bản.",Applications
"Machine Translation là gì?","Là dịch tự động giữa các ngôn ngữ bằng AI.",Applications
"Recommendation System là gì?","Là hệ thống gợi ý sản phẩm, phim, bài hát dựa trên sở thích người dùng.",Applications
"Collaborative Filtering là gì?","Là gợi ý dựa trên hành vi của người dùng tương tự.",Applications
"Content-based Filtering là gì?","Là gợi ý dựa trên thuộc tính của sản phẩm người dùng đã thích.",Applications
"Autonomous Vehicle là gì?","Là xe tự lái sử dụng AI để điều khiển mà không cần người lái.",Applications
"Face Recognition là gì?","Là công nghệ nhận diện khuôn mặt từ hình ảnh hoặc video.",Applications
"Object Detection là gì?","Là xác định vị trí và phân loại các đối tượng trong ảnh.",Applications
"Image Segmentation là gì?","Là phân chia ảnh thành các vùng có ý nghĩa riêng biệt.",Applications
"Virtual Assistant là gì?","Là trợ lý ảo như Siri, Alexa, Google Assistant sử dụng AI để hỗ trợ người dùng.",Applications
"Deepfake là gì?","Là công nghệ dùng AI tạo video giả mạo khuôn mặt người.",Applications
